kton/a,Electric arc,Integrated steelworks,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol
HR,100.8782,0.0,123.73020000000001,24.64,2096.3598,864.4849999999998,175.97200000000004,22.052400000000002,199.2306,55.3173,1605.7405,0.0,0.0,32.418499999999995,,127.0896,1322.8954999999999,542.78,175.8012,1309.868,391.6096,0.0,0.0,0.0
HU,142.79999999999998,1280.95,229.7106,75.44,3626.9700000000003,3425.742,386.87199999999996,0.0,652.8000000000002,60.63900000000002,3517.0424000000003,,,,0.0,4482.254,6769.23,557.0,244.44,2333.58,500.8875,551.3292,101.574,15.903
IE,,,237.19499999999996,141.988,1430.2555000000002,2599.670599999999,49.57999999999999,0.0,41.400000000000006,27.6,3962.9226,2273.3430000000008,0.0,0.0,68.63750000000002,,,308.028,508.26860000000005,2725.828,0.0,0.0,0.0,0.0
IT,14298.410000000003,3976.5217000000007,1351.3284,344.70799999999997,16859.8719,42658.532,3880.3601999999996,268.8171,6100.1658,591.6542999999999,22116.1577,0.0,0.0,1637.1514999999997,996.5025000000002,13210.130600000002,82045.12650000003,22576.218,1656.1535999999999,28775.487999999994,595.2404,1051.1478,193.65480000000002,30.321
LT,,,3.8016,5.977999999999999,648.2266,1584.1169999999997,65.24580000000002,,,,1321.8569,,,,,,,645.8199999999999,317.15079999999995,779.366,914.7906,0.0,0.0,0.0
LU,1765.5179000000005,0.0,52.644600000000004,26.081999999999997,776.4040999999999,456.69080000000014,311.3179999999999,,,,217.7448,,,,,38.87720000000001,189.04910000000004,586.054,71.2252,419.04799999999994,0.0,0.0,0.0,0.0
LV,107.62619330885258,0.0,2.959199999999999,1.3719999999999999,889.0975999999998,887.1169999999997,108.03999999999999,0.0,31.050000000000004,5.568300000000001,641.1678,,,,,162.4643408519689,391.85993973143735,153.34199999999998,1349.9936,498.21799999999996,0.0,11.113199999999996,2.0465999999999993,0.3185999999999999
ME,,,,,,,,,,,,,,,,,,,,,,,,
MK,,,,,,,,,,,,,,,,,,,,,,,,
NL,88.81,5717.1562,422.87940000000003,97.74799999999999,1810.8696,2437.04,1037.8721999999998,30.498000000000005,1823.67,172.24470000000002,17346.6657,0.0,86.25000000000001,0.0,722.2945,2827.6274,12568.026,1794.5339999999999,201.9882,8595.692,2401.8596000000002,4737.231,872.7426,136.6524
