,total residential space,electricity residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,district heat share,total international navigation
LT,7.238805407812601,,1.807354949520368,,,,,,,,2.128684642935793,,0.4395426296175546,,,,,,,,,,,,11.82715457716997,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.6407499537314395,0.00510399833715797,0.0016973014954455557,0.00510399833715797,0.6424472552268851,,,1.6773141186299083
LU,2.1508870586725006,,0.2983240406900467,,,,,,,,1.2753472203305345,,0.2085318112039169,,,,,,,,,,,,2.735606183109848,,,,,,,,,,0.0,0.0,,,,,,,0.0,1.4694582279351314,0.14221892133124997,3.2284478621084163,0.14221892133124997,4.697906090043547,,,0.0
LV,5.778698816924098,,1.6805932936412051,,,,,,,,1.904567941386742,,0.4366379184063639,,,,,,,,,,,,6.981456556024956,,,,,,,,,,0.0,0.0,,,,,,,0.0,1.356584470502264,0.008905126891600074,0.0033926428279445844,0.008905126891600074,1.3599771133302085,,,2.5317466284759513
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,43.752855304167134,,9.820253007035078,,,,,,,,23.51114698018013,,3.987066414992855,,,,,,,,,,,,43.39776288511324,,,,,,,,,,0.0,0.0,,,,,,,0.0,35.61245743892048,0.4505362593464672,5.648262725682194,0.4505362593464672,41.260720164602674,,,173.46685403986157
NO,7.468930392081934,,2.990762023080101,,,,,,,,5.353382634967162,,1.277167873147699,,,,,,,,,,,,12.774939487885474,,,,,,,,,,0.0,0.0,,,,,,,3.7444176625489995,4.6047168683124715,0.33166955759983485,0.3432633222717188,4.0760872201488345,4.9479801905841905,,,4.485912797867686
PL,123.60895841615348,,14.207976845691553,,,,,,,,44.40265285290337,,3.157535708258369,,,,,,,,,,,,104.5757341816605,,,,,,,,,,0.0,0.0,,,,,,,0.5100291013423637,5.278181604905077,0.007886004808856671,0.008649468267671528,0.5179151061512204,5.286831073172749,,,2.029774635000199
PT,3.661270291191013,,5.154178988437221,,,,,,,,3.827205088367895,,1.731898592621555,,,,,,,,,,,,19.47052268925692,,,,,,,,,,0.0,0.0,,,,,,,1.1003879073097635,5.929362700494963,0.0811431257669192,0.07395653633187783,1.1815310330766828,6.00331923682684,,,6.645586187691451
RO,38.53491064427661,,9.04621231859678,,,,,,,,7.848329331740785,,1.7023255068424432,,,,,,,,,,,,25.451743408063244,,,,,,,,,,0.0,0.0,,,,,,,0.20474921042908426,1.6222995759308283,0.023739903234180147,0.0031774793269700595,0.2284891136632644,1.6254770552577984,,,0.10971754783784857
